car_id,customer_name,gender,annual_income,dealer_name,company,model,engine,transmission,color,price_usd,dealer_no,body_style,phone,dealer_region,sale_date,sale_month,sale_day,sale_year
C_CND_004605,Bianca,Male,806000,"Buddy Storbeck's Diesel Service Inc",Pontiac,"Grand Prix","Double  Overhead Camshaft",Auto,"Pale White",42000,06457-3834,Passenger,6139910,Middletown,2022-08-13,8,13,2022
C_CND_001191,Christian,Male,507000,"Buddy Storbeck's Diesel Service Inc",Mitsubishi,"Montero Sport","Overhead Camshaft",Manual,Black,42000,06457-3834,Hatchback,6141955,Aurora,2022-03-23,3,23,2022
C_CND_023669,Rivka,Female,13500,"Buddy Storbeck's Diesel Service Inc",Acura,RL,"Overhead Camshaft",Manual,Black,18000,06457-3834,SUV,6145123,Pasco,2023-12-27,12,27,2023
C_CND_014268,Ashley,Female,506000,"Buddy Storbeck's Diesel Service Inc",Chevrolet,Prizm,"Overhead Camshaft",Manual,Red,24000,06457-3834,Hardtop,6147691,Pasco,2023-05-30,5,30,2023
C_CND_023240,Axel,Male,800000,"Buddy Storbeck's Diesel Service Inc",Buick,Regal,"Double  Overhead Camshaft",Auto,Black,19000,06457-3834,Passenger,6150163,Janesville,2023-12-18,12,18,2023
C_CND_023811,Louis,Male,1615000,"Buddy Storbeck's Diesel Service Inc",Mitsubishi,Diamante,"Double  Overhead Camshaft",Auto,Black,17500,06457-3834,Hatchback,6150391,Greenville,2023-12-29,12,29,2023
C_CND_000275,Gabrielle,Male,1370000,"Buddy Storbeck's Diesel Service Inc",Chrysler,"Sebring Coupe","Double  Overhead Camshaft",Auto,"Pale White",46000,06457-3834,Sedan,6154930,Middletown,2022-01-27,1,27,2022
C_CND_016052,Jonah,Male,1380000,"Buddy Storbeck's Diesel Service Inc",Saturn,SC,"Double  Overhead Camshaft",Auto,Black,33000,06457-3834,Hardtop,6161316,Middletown,2023-07-21,7,21,2023
C_CND_008029,Mary,Male,13500,"Buddy Storbeck's Diesel Service Inc",Nissan,Frontier,"Overhead Camshaft",Manual,"Pale White",12000,06457-3834,Hatchback,6168873,Middletown,2022-11-13,11,13,2022
C_CND_018472,Kevin,Male,1346000,"Buddy Storbeck's Diesel Service Inc",Volkswagen,GTI,"Double  Overhead Camshaft",Auto,Red,25600,06457-3834,SUV,6178956,Middletown,2023-09-18,9,18,2023
C_CND_007768,Mathis,Male,770000,"Buddy Storbeck's Diesel Service Inc",Dodge,"Ram Pickup","Overhead Camshaft",Manual,"Pale White",16000,06457-3834,Hardtop,6180675,Middletown,2022-11-08,11,8,2022
C_CND_008631,Jannat,Male,13500,"Buddy Storbeck's Diesel Service Inc",Cadillac,Eldorado,"Overhead Camshaft",Manual,Red,31001,06457-3834,Passenger,6184531,Middletown,2022-11-23,11,23,2022
C_CND_003811,Louise,Female,1100000,"Buddy Storbeck's Diesel Service Inc",Mitsubishi,Galant,"Double  Overhead Camshaft",Auto,"Pale White",36000,06457-3834,Passenger,6187956,Middletown,2022-07-09,7,9,2022
C_CND_009547,Elijah,Male,13500,"Buddy Storbeck's Diesel Service Inc",Cadillac,Eldorado,"Overhead Camshaft",Manual,"Pale White",37001,06457-3834,Passenger,6188804,Middletown,2022-12-10,12,10,2022
C_CND_002139,Ashton,Male,690000,"Buddy Storbeck's Diesel Service Inc",Mercury,"Grand Marquis","Overhead Camshaft",Manual,Red,71000,06457-3834,SUV,6196935,Janesville,2022-04-30,4,30,2022
C_CND_007505,Jayson,Male,13500,"Buddy Storbeck's Diesel Service Inc",Nissan,Quest,"Overhead Camshaft",Manual,Black,12000,06457-3834,SUV,6199912,Janesville,2022-11-02,11,2,2022
C_CND_012994,Victoria,Male,773000,"Buddy Storbeck's Diesel Service Inc",Chevrolet,Lumina,"Overhead Camshaft",Manual,Black,42000,06457-3834,Passenger,6204189,Middletown,2023-04-19,4,19,2023
C_CND_018277,Gabriel,Male,951000,"Buddy Storbeck's Diesel Service Inc",Volkswagen,Passat,"Double  Overhead Camshaft",Auto,Red,13000,06457-3834,Hatchback,6210556,Middletown,2023-09-13,9,13,2023
C_CND_015137,Aaron,Male,360000,"Buddy Storbeck's Diesel Service Inc",Mercury,Cougar,"Double  Overhead Camshaft",Auto,Black,33000,06457-3834,Hatchback,6215704,Middletown,2023-06-23,6,23,2023
C_CND_015271,Chris,Male,715000,"Buddy Storbeck's Diesel Service Inc",Mitsubishi,Diamante,"Double  Overhead Camshaft",Auto,Black,18001,06457-3834,Hatchback,6217463,Middletown,2023-06-26,6,26,2023
C_CND_017899,Yocheved,Male,13500,"Buddy Storbeck's Diesel Service Inc",Ford,Escort,"Overhead Camshaft",Manual,Black,11000,06457-3834,Passenger,6219553,Middletown,2023-09-06,9,6,2023
C_CND_017004,Sean,Female,930000,"Buddy Storbeck's Diesel Service Inc",Subaru,Outback,"Double  Overhead Camshaft",Auto,Red,57000,06457-3834,SUV,6237392,Middletown,2023-08-23,8,23,2023
C_CND_010353,Pinchas,Male,13500,"Buddy Storbeck's Diesel Service Inc",BMW,323i,"Overhead Camshaft",Manual,"Pale White",21001,06457-3834,Hatchback,6238201,Middletown,2022-12-25,12,25,2022
C_CND_000244,Leo,Male,1610000,"Buddy Storbeck's Diesel Service Inc",Cadillac,Eldorado,"Overhead Camshaft",Manual,"Pale White",31000,06457-3834,Passenger,6249100,Middletown,2022-01-23,1,23,2022
C_CND_018156,Adriel,Male,1200000,"Buddy Storbeck's Diesel Service Inc",Oldsmobile,Intrigue,"Overhead Camshaft",Manual,Red,25000,06457-3834,SUV,6249740,Middletown,2023-09-11,9,11,2023
C_CND_020754,Sam,Male,1340000,"Buddy Storbeck's Diesel Service Inc",Mercury,Cougar,"Double  Overhead Camshaft",Auto,Black,26000,06457-3834,Hatchback,6254364,Middletown,2023-11-10,11,10,2023
C_CND_005567,Winnie,Female,1171000,"Buddy Storbeck's Diesel Service Inc",Ford,Escort,"Overhead Camshaft",Manual,Black,12100,06457-3834,Passenger,6260341,Greenville,2022-09-12,9,12,2022
C_CND_001402,Samuel,Male,2525000,"Buddy Storbeck's Diesel Service Inc",Mitsubishi,"Montero Sport","Overhead Camshaft",Manual,Red,29500,06457-3834,Hardtop,6270692,Middletown,2022-04-04,4,4,2022
C_CND_003432,Armand,Male,715000,"Buddy Storbeck's Diesel Service Inc",Oldsmobile,Cutlass,"Double  Overhead Camshaft",Auto,"Pale White",46000,06457-3834,Sedan,6281304,Middletown,2022-06-23,6,23,2022
C_CND_023710,Marivs,Male,832000,"Buddy Storbeck's Diesel Service Inc",Ford,Explorer,"Double  Overhead Camshaft",Auto,"Pale White",42000,06457-3834,Hatchback,6287857,Middletown,2023-12-29,12,29,2023
C_CND_015529,Greyson,Male,13500,"Buddy Storbeck's Diesel Service Inc",Jeep,Wrangler,"Double  Overhead Camshaft",Auto,"Pale White",13000,06457-3834,Hatchback,6295924,Middletown,2023-07-07,7,7,2023
C_CND_006330,Valentin,Female,2500000,"Buddy Storbeck's Diesel Service Inc",Subaru,Forester,"Double  Overhead Camshaft",Auto,Black,22000,06457-3834,Hardtop,6301869,Middletown,2022-09-25,9,25,2022
C_CND_021134,Lilian,Female,525000,"Buddy Storbeck's Diesel Service Inc",Dodge,"Ram Wagon","Double  Overhead Camshaft",Auto,Black,22000,06457-3834,Passenger,6302130,Scottsdale,2023-11-15,11,15,2023
C_CND_020227,Iris,Male,1140000,"Buddy Storbeck's Diesel Service Inc",Plymouth,Voyager,"Double  Overhead Camshaft",Auto,"Pale White",22000,06457-3834,Passenger,6308758,Middletown,2023-11-03,11,3,2023
C_CND_012511,Sacha,Male,925000,"Buddy Storbeck's Diesel Service Inc",Volkswagen,Passat,"Double  Overhead Camshaft",Auto,Red,13000,06457-3834,Hatchback,6323192,Middletown,2023-04-05,4,5,2023
C_CND_017534,Quinn,Male,910000,"Buddy Storbeck's Diesel Service Inc",Chevrolet,Metro,"Double  Overhead Camshaft",Auto,"Pale White",12000,06457-3834,Passenger,6326248,Janesville,2023-09-02,9,2,2023
C_CND_011850,Leela,Male,13500,"Buddy Storbeck's Diesel Service Inc",Jeep,"Grand Cherokee","Overhead Camshaft",Manual,Red,21000,06457-3834,SUV,6327438,Middletown,2023-03-11,3,11,2023
C_CND_010035,Samuel,Male,1555000,"Buddy Storbeck's Diesel Service Inc",Mercury,"Grand Marquis","Overhead Camshaft",Manual,"Pale White",16500,06457-3834,SUV,6331191,Austin,2022-12-18,12,18,2022
C_CND_017817,Lamar,Male,1400000,"Buddy Storbeck's Diesel Service Inc",Ford,Expedition,"Overhead Camshaft",Manual,Black,18000,06457-3834,SUV,6335286,Middletown,2023-09-05,9,5,2023
C_CND_007181,Edwin,Male,1110000,"Buddy Storbeck's Diesel Service Inc",Toyota,Camry,"Double  Overhead Camshaft",Auto,Red,31001,06457-3834,Hatchback,6338994,Middletown,2022-10-25,10,25,2022
C_CND_002907,Denise,Male,13500,"Buddy Storbeck's Diesel Service Inc",Ford,Explorer,"Double  Overhead Camshaft",Auto,"Pale White",18000,06457-3834,Hatchback,6342495,Middletown,2022-06-01,6,1,2022
C_CND_011281,Rebecca,Male,2300000,"Buddy Storbeck's Diesel Service Inc",Audi,A6,"Overhead Camshaft",Manual,Black,25000,06457-3834,SUV,6346917,Middletown,2023-02-08,2,8,2023
C_CND_000808,Sarah,Male,13500,"Buddy Storbeck's Diesel Service Inc",Mercedes-B,SLK,"Overhead Camshaft",Manual,"Pale White",17000,06457-3834,Passenger,6369393,Middletown,2022-03-08,3,8,2022
C_CND_004879,Arya,Male,1900000,"Buddy Storbeck's Diesel Service Inc",BMW,528i,"Overhead Camshaft",Manual,Red,29001,06457-3834,SUV,6372532,Middletown,2022-08-24,8,24,2022
C_CND_010720,Yosef,Female,590500,"Buddy Storbeck's Diesel Service Inc",Chrysler,300M,"Double  Overhead Camshaft",Auto,Red,16501,06457-3834,SUV,6373504,Middletown,2023-01-07,1,7,2023
C_CND_005276,Mandy,Male,1050000,"Buddy Storbeck's Diesel Service Inc",Oldsmobile,Aurora,"Overhead Camshaft",Manual,"Pale White",71000,06457-3834,Passenger,6376746,Middletown,2022-09-06,9,6,2022
C_CND_009763,Yaniel,Male,13500,"Buddy Storbeck's Diesel Service Inc",Volkswagen,Golf,"Overhead Camshaft",Manual,"Pale White",17001,06457-3834,SUV,6378562,Middletown,2022-12-12,12,12,2022
C_CND_007327,Ian,Male,800000,"Buddy Storbeck's Diesel Service Inc",Volvo,S40,"Overhead Camshaft",Manual,Black,36000,06457-3834,Sedan,6383658,Middletown,2022-10-31,10,31,2022
C_CND_002889,Sharon,Female,13500,"Buddy Storbeck's Diesel Service Inc",Lexus,LS400,"Double  Overhead Camshaft",Auto,Black,22000,06457-3834,Sedan,6385226,Middletown,2022-05-31,5,31,2022
C_CND_001232,Aurelien,Male,13500,"Buddy Storbeck's Diesel Service Inc",Mercedes-B,SLK,"Overhead Camshaft",Manual,Black,26000,06457-3834,Passenger,6386533,Middletown,2022-03-26,3,26,2022
C_CND_020438,Luca,Female,540000,"Buddy Storbeck's Diesel Service Inc",Mercury,"Grand Marquis","Overhead Camshaft",Manual,"Pale White",71001,06457-3834,SUV,6390704,Middletown,2023-11-05,11,5,2023
C_CND_001728,Mathilde,Male,642000,"Buddy Storbeck's Diesel Service Inc",Mitsubishi,"Montero Sport","Overhead Camshaft",Manual,Black,42001,06457-3834,Hardtop,6401545,Middletown,2022-04-16,4,16,2022
C_CND_000857,Quentin,Male,770000,"Buddy Storbeck's Diesel Service Inc",Acura,TL,"Overhead Camshaft",Manual,"Pale White",14000,06457-3834,Hatchback,6428798,Middletown,2022-03-10,3,10,2022
C_CND_021996,Addison,Male,1105000,"Buddy Storbeck's Diesel Service Inc",Lexus,ES300,"Overhead Camshaft",Manual,Black,34500,06457-3834,Hardtop,6435022,Middletown,2023-12-01,12,1,2023
C_CND_011621,Empty,Male,1070000,"Buddy Storbeck's Diesel Service Inc",Volkswagen,Jetta,"Double  Overhead Camshaft",Auto,Red,33001,06457-3834,Passenger,6439642,Janesville,2023-03-03,3,3,2023
C_CND_006597,Angela,Female,1533000,"Buddy Storbeck's Diesel Service Inc",Nissan,Frontier,"Overhead Camshaft",Manual,Black,53300,06457-3834,Hatchback,6440461,Middletown,2022-10-02,10,2,2022
C_CND_001616,Fradel,Female,765000,"Buddy Storbeck's Diesel Service Inc",Chevrolet,Prizm,"Overhead Camshaft",Manual,"Pale White",21000,06457-3834,SUV,6442919,Middletown,2022-04-13,4,13,2022
C_CND_000887,Brandon,Male,750000,"Buddy Storbeck's Diesel Service Inc",Cadillac,Seville,"Overhead Camshaft",Manual,Black,44001,06457-3834,Hardtop,6443234,Middletown,2022-03-13,3,13,2022
C_CND_009959,Justin,Male,900000,"Buddy Storbeck's Diesel Service Inc",BMW,328i,"Double  Overhead Camshaft",Auto,Black,16001,06457-3834,Sedan,6444805,Middletown,2022-12-17,12,17,2022
C_CND_001908,Layla,Male,1270000,"Buddy Storbeck's Diesel Service Inc",Mitsubishi,"Montero Sport","Double  Overhead Camshaft",Auto,Red,39000,06457-3834,Hatchback,6450662,Middletown,2022-04-20,4,20,2022
C_CND_000570,Lillian,Female,1190000,"Buddy Storbeck's Diesel Service Inc",Cadillac,Seville,"Overhead Camshaft",Manual,"Pale White",22000,06457-3834,Hatchback,6466455,Middletown,2022-02-21,2,21,2022
C_CND_017772,Yasmina,Male,317500,"Buddy Storbeck's Diesel Service Inc",Mercedes-B,SLK,"Overhead Camshaft",Manual,Black,26500,06457-3834,Passenger,6467064,Middletown,2023-09-05,9,5,2023
C_CND_013316,Fanny,Male,912000,"Buddy Storbeck's Diesel Service Inc",Nissan,Quest,"Overhead Camshaft",Manual,Black,19001,06457-3834,SUV,6476264,Middletown,2023-05-03,5,3,2023
C_CND_016952,Theo,Male,1720000,"Buddy Storbeck's Diesel Service Inc",Toyota,RAV4,"Double  Overhead Camshaft",Auto,Black,28001,06457-3834,Hatchback,6491396,Middletown,2023-08-23,8,23,2023
C_CND_013911,Gabriel,Male,720000,"Buddy Storbeck's Diesel Service Inc",Dodge,"Ram Pickup","Double  Overhead Camshaft",Auto,"Pale White",45001,06457-3834,Hardtop,6495152,Middletown,2023-05-22,5,22,2023
C_CND_014126,Lindsay,Male,13500,"Buddy Storbeck's Diesel Service Inc",BMW,328i,"Overhead Camshaft",Manual,Black,69000,06457-3834,Sedan,6502865,Middletown,2023-05-27,5,27,2023
C_CND_019273,Noel,Male,13500,"Buddy Storbeck's Diesel Service Inc",Toyota,Sienna,"Overhead Camshaft",Manual,Black,12001,06457-3834,Passenger,6503307,Middletown,2023-10-04,10,4,2023
C_CND_000319,Katelyn,Male,840000,"Buddy Storbeck's Diesel Service Inc",Mitsubishi,"Montero Sport","Double  Overhead Camshaft",Auto,"Pale White",39000,06457-3834,SUV,6503890,Middletown,2022-02-03,2,3,2022
C_CND_008393,Rowan,Male,13500,"Buddy Storbeck's Diesel Service Inc",Mitsubishi,Diamante,"Double  Overhead Camshaft",Auto,Black,18000,06457-3834,Hatchback,6506460,Middletown,2022-11-20,11,20,2022
C_CND_019283,Kylian,Male,1275000,"Buddy Storbeck's Diesel Service Inc",Lexus,ES300,"Double  Overhead Camshaft",Auto,"Pale White",27501,06457-3834,Hardtop,6507091,Aurora,2023-10-04,10,4,2023
C_CND_022641,Adonise,Male,1450000,"Buddy Storbeck's Diesel Service Inc",Saturn,SC,"Double  Overhead Camshaft",Auto,Black,33000,06457-3834,Hardtop,6516082,Janesville,2023-12-09,12,9,2023
C_CND_001755,Nicholas,Male,920000,"Buddy Storbeck's Diesel Service Inc",Honda,Passport,"Overhead Camshaft",Manual,"Pale White",27000,06457-3834,Hatchback,6518299,Janesville,2022-04-16,4,16,2022
C_CND_004004,Coline,Male,1450000,"Buddy Storbeck's Diesel Service Inc",Dodge,Intrepid,"Overhead Camshaft",Manual,Black,11000,06457-3834,Sedan,6519378,Middletown,2022-07-16,7,16,2022
C_CND_018680,Ryan,Male,625000,"Buddy Storbeck's Diesel Service Inc",Hyundai,Elantra,"Overhead Camshaft",Manual,"Pale White",26000,06457-3834,Sedan,6521807,Middletown,2023-09-22,9,22,2023
C_CND_016212,Tzipora,Male,1260000,"Buddy Storbeck's Diesel Service Inc",Audi,A8,"Overhead Camshaft",Manual,"Pale White",13001,06457-3834,Passenger,6522260,Middletown,2023-07-24,7,24,2023
C_CND_020399,Ivan,Female,670000,"Buddy Storbeck's Diesel Service Inc",Chevrolet,Metro,"Double  Overhead Camshaft",Auto,"Pale White",12001,06457-3834,Passenger,6524843,Middletown,2023-11-05,11,5,2023
C_CND_003232,Theo,Male,960000,"Buddy Storbeck's Diesel Service Inc",Porsche,"Carrera Coupe","Double  Overhead Camshaft",Auto,Red,22001,06457-3834,Hardtop,6525102,Middletown,2022-06-15,6,15,2022
C_CND_015235,Zoe,Male,720000,"Buddy Storbeck's Diesel Service Inc",Chevrolet,Lumina,"Overhead Camshaft",Manual,Black,10001,06457-3834,Passenger,6525705,Middletown,2023-06-26,6,26,2023
C_CND_012894,Theo,Female,653000,"Buddy Storbeck's Diesel Service Inc",Pontiac,"Grand Am","Double  Overhead Camshaft",Auto,"Pale White",12001,06457-3834,SUV,6528737,Pasco,2023-04-17,4,17,2023
C_CND_022970,Meline,Male,434000,"Buddy Storbeck's Diesel Service Inc",Lexus,ES300,"Double  Overhead Camshaft",Auto,"Pale White",27000,06457-3834,Hardtop,6530470,Middletown,2023-12-12,12,12,2023
C_CND_008130,Mariah,Male,965000,"Buddy Storbeck's Diesel Service Inc",Mercury,Sable,"Double  Overhead Camshaft",Auto,"Pale White",26000,06457-3834,Sedan,6532980,Scottsdale,2022-11-14,11,14,2022
C_CND_019229,Jayce,Male,1010000,"Buddy Storbeck's Diesel Service Inc",Chrysler,300M,"Double  Overhead Camshaft",Auto,Black,26000,06457-3834,SUV,6538564,Middletown,2023-10-03,10,3,2023
C_CND_022669,Tiphanie,Male,1200000,"Buddy Storbeck's Diesel Service Inc",BMW,328i,"Double  Overhead Camshaft",Auto,Black,16000,06457-3834,Sedan,6546615,Greenville,2023-12-09,12,9,2023
C_CND_007857,Michael,Male,330000,"Buddy Storbeck's Diesel Service Inc",Toyota,"Land Cruiser","Double  Overhead Camshaft",Auto,Black,21000,06457-3834,SUV,6554549,Janesville,2022-11-09,11,9,2022
C_CND_004992,Doris,Male,879000,"Buddy Storbeck's Diesel Service Inc",Lexus,LS400,"Double  Overhead Camshaft",Auto,Black,39000,06457-3834,Sedan,6554672,Pasco,2022-08-27,8,27,2022
C_CND_010906,Keily,Male,13500,"Buddy Storbeck's Diesel Service Inc",Pontiac,Sunfire,"Double  Overhead Camshaft",Auto,Black,18000,06457-3834,Sedan,6560473,Middletown,2023-01-21,1,21,2023
C_CND_020240,Kassandra,Male,1500000,"Buddy Storbeck's Diesel Service Inc",Mitsubishi,Eclipse,"Overhead Camshaft",Manual,"Pale White",12000,06457-3834,Hardtop,6562204,Middletown,2023-11-03,11,3,2023
C_CND_002574,Baptiste,Male,465000,"Buddy Storbeck's Diesel Service Inc",Mercedes-B,SLK,"Double  Overhead Camshaft",Auto,Red,19000,06457-3834,Passenger,6562558,Middletown,2022-05-22,5,22,2022
C_CND_022574,Brian,Male,910500,"Buddy Storbeck's Diesel Service Inc",Pontiac,Firebird,"Overhead Camshaft",Manual,Black,43501,06457-3834,Hardtop,6565919,Scottsdale,2023-12-08,12,8,2023
C_CND_006919,Eileen,Male,503000,"Buddy Storbeck's Diesel Service Inc",Ford,Explorer,"Double  Overhead Camshaft",Auto,"Pale White",18000,06457-3834,Hatchback,6566794,Scottsdale,2022-10-12,10,12,2022
C_CND_013764,Matthew,Male,2000000,"Buddy Storbeck's Diesel Service Inc",Mercedes-B,SLK230,"Overhead Camshaft",Manual,Red,71001,06457-3834,Hatchback,6571367,Middletown,2023-05-17,5,17,2023
C_CND_001808,Jasmine,Male,421500,"Buddy Storbeck's Diesel Service Inc",Saab,3-Sep,"Double  Overhead Camshaft",Auto,Black,26500,06457-3834,Sedan,6576391,Middletown,2022-04-18,4,18,2022
C_CND_002947,Camille,Male,406500,"Buddy Storbeck's Diesel Service Inc",Ford,Expedition,"Overhead Camshaft",Manual,Red,22500,06457-3834,SUV,6584355,Middletown,2022-06-04,6,4,2022
C_CND_017191,Anderson,Female,13500,"Buddy Storbeck's Diesel Service Inc",Mercedes-B,SLK,"Overhead Camshaft",Manual,"Pale White",17001,06457-3834,Passenger,6585143,Aurora,2023-08-27,8,27,2023
C_CND_008082,Tristan,Male,880000,"Buddy Storbeck's Diesel Service Inc",Plymouth,Neon,"Double  Overhead Camshaft",Auto,Black,9000,06457-3834,SUV,6585464,Middletown,2022-11-14,11,14,2022
C_CND_018320,Brayden,Male,13500,"Buddy Storbeck's Diesel Service Inc",Toyota,RAV4,"Overhead Camshaft",Manual,"Pale White",22000,06457-3834,Hatchback,6588380,Middletown,2023-09-14,9,14,2023
C_CND_016668,Tatiana-Eva,Male,1001000,"Buddy Storbeck's Diesel Service Inc",Honda,Civic,"Overhead Camshaft",Manual,Black,43100,06457-3834,Hatchback,6589267,Middletown,2023-08-13,8,13,2023
C_CND_010138,Arely,Male,2300000,"Buddy Storbeck's Diesel Service Inc",Mitsubishi,Diamante,"Double  Overhead Camshaft",Auto,"Pale White",21000,06457-3834,Hatchback,6590054,Middletown,2022-12-20,12,20,2022
C_CND_001576,Julian,Male,13500,"Buddy Storbeck's Diesel Service Inc",Acura,RL,"Double  Overhead Camshaft",Auto,Black,24000,06457-3834,SUV,6592379,Middletown,2022-04-11,4,11,2022
C_CND_010785,Jariel,Male,850000,"Buddy Storbeck's Diesel Service Inc",BMW,323i,"Double  Overhead Camshaft",Auto,Red,22000,06457-3834,Hatchback,6604247,Austin,2023-01-10,1,10,2023
C_CND_005909,Isis,Male,450000,"Buddy Storbeck's Diesel Service Inc",BMW,328i,"Double  Overhead Camshaft",Auto,Black,18000,06457-3834,Sedan,6611980,Middletown,2022-09-18,9,18,2022
C_CND_010883,Omar,Male,442000,"Buddy Storbeck's Diesel Service Inc",Lexus,GS400,"Double  Overhead Camshaft",Auto,Black,12001,06457-3834,Hatchback,6617636,Middletown,2023-01-17,1,17,2023
C_CND_014783,Haley,Male,475000,"Buddy Storbeck's Diesel Service Inc",Audi,A6,"Overhead Camshaft",Manual,"Pale White",24000,06457-3834,SUV,6621722,Austin,2023-06-12,6,12,2023
C_CND_011847,Brooklyn,Male,13500,"Buddy Storbeck's Diesel Service Inc",Lexus,LX470,"Double  Overhead Camshaft",Auto,Black,22000,06457-3834,SUV,6628060,Middletown,2023-03-11,3,11,2023
C_CND_003268,Erin,Male,885000,"Buddy Storbeck's Diesel Service Inc",Toyota,Camry,"Double  Overhead Camshaft",Auto,Red,31000,06457-3834,Hatchback,6637977,Austin,2022-06-16,6,16,2022
C_CND_023773,Jean,Female,360000,"Buddy Storbeck's Diesel Service Inc",Dodge,Viper,"Double  Overhead Camshaft",Auto,Red,31000,06457-3834,SUV,6653074,Greenville,2023-12-29,12,29,2023
